leather,					Кожа (PW)
sponge,						Губка (PW)
grass,						Трава (PW)
sand,						Песок (PW)
skin,						Кожа (PW)
heavyclouds,				Сильная облачность(PW)
lightclouds,				Легкая облачность (PW)
clearsky,					Чистое небо (PW)
waterstill,					Спокойная вода (PW)
orientedstrandboard,		Плита с ориентарованными волокнами (OSB) (PW)
hardwoodfloor,				Паркет (PW)
hardwoodfloor2,				Паркет 2 (PW)
hardwoodfloor3,				Паркет 3 (PW)
laminatefloor,				Ламинированный пол (PW)
laminatefloor2,				Ламинированный пол 2 (PW)
laminatefloor3,				Ламинированный пол 3 (PW)
polishedash,				Полированный ясень (PW)
satinfinishash,				Сатинированный ясень (PW)
unfinishedash,				Необработанный ясень (PW)
polishedbeech,				Полированный бук (PW)
satinfinishbeech,			Сатинированный бук (PW)
unfinishedbeech,			Необработанный бук (PW)
polishedbirch,				Полированная береза (PW)
satinfinishbirch,			Сатинированная береза (PW)
unfinishedbirch,			Необработанная береза (PW)
polishedcherry,				Полированная вишня (PW)
satinfinishcherry,			Сатинированная вишня (PW)
unfinishedcherry,			Необработанная вишня (PW)
polishedmahogany,			Полированное красное дерево (PW)
satinfinishmahogany,		Сатинированное красное дерево (PW)
unfinishedmahogany,			Необработанное красное дерево (PW)
polishedmaple,				Полированный клен (PW)
satinfinishmaple,			Сатинированный клен (PW)
unfinishedmaple,			Необработанный клен (PW)
polishedoak,				Полированный дуб (PW)
satinfinishoak,				Сатинированный дуб (PW)
unfinishedoak,				Необработанный дуб (PW)
polishedpine,				Полированная сосна (PW)
satinfinishpine,			Сатинированная сосна (PW)
unfinishedpine,				Необработанная сосна (PW)
polishedrosewood,			Полированное розовое дерево (PW)
satinfinishrosewood,		Сатинированное розовое дерево (PW)
unfinishedrosewood,			Необработанное розовое дерево (PW)
polishedsatinwood,			Полированное атласное дерево (PW)
satinfinishsatinwood,		Сатинированное атласное дерево (PW)
unfinishedsatinwood,		Необработанное атласное дерево (PW)
polishedspruce,				Полированная ель (PW)
satinfinishspruce,			Сатинированная ель (PW)
unfinishedspruce,			Необработанная ель (PW)
polishedteak,				Полированный тик (PW)
satinfinishteak,			Сатинированный тик (PW)
unfinishedteak,				Необработанный тик (PW)
polishedwalnut,				Полированное ореховое дерево (PW)
satinfinishwalnut,			Сатинированное ореховое дерево (PW)
unfinishedwalnut,			Необработанное ореховое дерево (PW)
redceramictile,				Красная керамическая плитка (PW)
floortile7,					Напольная плитка 7 (PW)
floortile6,					Напольная плитка 6 (PW)
floortile5,					Напольная плитка 5 (PW)
floortile4,					Напольная плитка 4 (PW)
floortile3,					Напольная плитка 3 (PW)
floortile2,					Напольная плитка 2 (PW)
floortile1,					Напольная плитка 1 (PW)
cobblestone4,				Булыжник 4 (PW)
cobblestone3,				Булыжник 3 (PW)
cobblestone2,				Булыжник 2 (PW)
cobblestone1,				Булыжник 1 (PW)
cobblestone,				Булыжник (PW)
limestone,					Известняк (PW)
sandstone,					Песчаник (PW)
slate,						Сланец (PW)
granite,					Гранит (PW)
polishedpinkmarble,			Полированный розовый мрамор (PW)
pinkmarble,					Розовый мрамор (PW)
polishedgreenmarble,		Полированный зеленый мрамор (PW)
greenmarble,				Зеленый мрамор (PW)
polisheddarkmarble,			Полированный темный мрамор (PW)
darkmarble,					Темный мрамор (PW)
polishedbeigemarble,		Полированный бежевый мрамор (PW)
beigemarble,				Бежевый мрамор (PW)
polishedbluemarble,			Полированный синий мрамор (PW)
bluemarble,					Синий мрамор (PW)
flemishbrick,				Фламандский кирпич (PW)
firebrick,					Обожженный кирпич (PW)
weatheredbrick,				Выветренный кирпич (PW)
oldenglishbrick2,			Старый английский кирпич 2 (PW)
oldenglishbrick,			Старый английский кирпич (PW)
bonechina,					Фарфор (PW)
ceramic,					Керамика (PW)
stoneware,					Керамические изделия (PW)
earthenware,				Глинянные изделия (PW)
porcelain,					Фаянс (PW)
pavingasphalt,				Асфальт (PW)
pavingwetconcrete,			Асфальтирование мокрый цемент (PW)
pavingdarkconcrete,			Асфальтирование темный цемент (PW)
pavinglightconcrete,		Асфальтирование светлый цемент (PW)
pavingredconcrete,			Асфальтирование красный цемент (PW)
pavingstone,				Асфальтирование мостильный камнем (PW)
clothwhitecotton,			Ткань белый хлопок (PW)
clothbeigecotton,			Ткань бежевый хлопок (PW)
clothbluecotton,			Ткань синий хлопок (PW)
clothburgundycotton,		Ткань малиновый хлопок (PW)
clothgreycotton,			Ткань серый хлопок (PW)
clothcanvas,				Ткань полотно (PW)
clothburlap,				Ткань мешковина (PW)
carpetcolor5,				Цвет ковра 5 (PW)
carpetcolor4,				Цвет ковраr 4 (PW)
carpetcolor3,				Цвет ковра 3 (PW)
carpetcolor2,				Цвет ковра 2 (PW)
carpetcolor1,				Цвет ковра 1 (PW)
sandblastedglass,			Стекло пескоструйной обработки (PW)
frostedglass,				Матовое стекло (PW)
reflectivegreenglass,		Отражающее зеленое стекло (PW)
reflectiveblueglas,			Отражающее синее стекло (PW)
reflectiveclearglass,		Отражающее прозрачное стекло (PW)
mirror,						Зеркало (PW)
brownglass,					Коричневое стекло (PW)
greenglass,					Зеленое стекло (PW)
blueglass,					Синее стекло (PW)
clearglass,					Прозрачное стекло (PW)
texturedrubber,				Текстурированная резина (PW)
perforatedrubber,			Перфорированная резина (PW)
tiretreadrubber,			Резина - след шины (PW)
glossyrubber,				Глянцевая резина (PW)
matterubber,				Матовая резинаr (PW)
darkpowdercoat,				Темное напыление (PW)
aluminumpowdercoat,			Алюминиевое напыление (PW)
blackspraypaint,			Черная краска для распыления (PW)
redspraypaint,				Красная краска для распыления (PW)
candyappleredcarpainthq,	Красное карамельное яблоко автомобильная краска HQ (PW)
steelgreycarpainthq,		Стальная серая автомобильная краска HQ (PW)
sienacarpainthq,			Хина автомобильная краска HQ (PW)
glossredcarpainthq,			Глянцевая красная автомобильная краска HQ (PW)
glossbluecarpainthq,		Глянцевая синяя автомобильная краска HQ (PW)
metallicgoldcarpainthq,		Металлическая золотая автомобильная краска HQ (PW)
metallicwarmgreycarpainthq,	Металлическая ярко-серая автомобильная краска HQ (PW)
metalliccoolgreycarpainthq, Металлическая бледно-серая автомобильная краска HQ (PW)
whitecarpaint,				Белая автомобильная краска (PW)
blackcarpaint,				Черная автомобильная краска (PW)
beigesatinfinishplastic,		Бежевый сатинированный пластик (PW)
yellowsatinfinishplastic,		Желтый сатинированный пластик (PW)
greensatinfinishplastic,		Зеленый сатинированный пластик (PW)
redsatinfinishplastic,			Красный сатинированный пластик (PW)
bluesatinfinishplastic,			Синий сатинированный пластик (PW)
blacksatinfinishplastic,		Черный сатинированный пластик (PW)
darkgreysatinfinishplastic,		Темно-серый сатинированный пластик (PW)
lightgreysatinfinishplastic,	Светло-серый сатинированный пластик (PW)
creamsatinfinishplastic,		Кремовый сатинированный пластик (PW)
whitesatinfinishplastic,		Белый сатинированный пластик (PW)
beigelowglossplastic,		Бежевый пластик слабого глянца (PW)
yellowlowglossplastic,		Желтый пластик слабого глянца (PW)
greenlowglossplastic,		Зеленый пластик слабого глянца (PW)
redlowglossplastic,			Красный пластик слабого глянца (PW)
bluelowglossplastic,		Синий пластик слабого глянца (PW)
blacklowglossplastic,		Черный пластик слабого глянца (PW)
darkgreylowglossplastic,	Темно-серый пластик слабого глянца (PW)
lightgreylowglossplastic,	Светло-серый пластик слабого глянца (PW)
creamlowglossplastic,		Кремовый пластик слабого глянца (PW)
whitelowglossplastic,		Белый пластик слабого глянца (PW)
beigemediumglossplastic,	Бежевый пластик среднего глянца (PW)
yellowmediumglossplastic,	Желтый пластик среднего глянца (PW)
greenmediumglossplastic,	Зеленый пластик среднего глянца (PW)
